左图,右图,探测点位置,性别,情绪类型,情绪面孔位置,图片,探测点一致性,控制条件
(负性)前测\练习\攻击负性\3530.JPG,(中性)前测\练习\和平对照\2890.JPG,左,1,1,1,1,1,1111
(中性)前测\练习\和平对照\Birthday 2.jpg,(负性)前测\练习\攻击负性\6313.JPG,右,1,1,2,2,1,1221
(负性)前测\练习\非攻击负性\541.jpg,(中性)前测\练习\和平对照\Couple 3.jpg,左,1,2,1,1,2,2112
(中性)前测\练习\和平对照\Picnic 2.jpg,(负性)前测\练习\非攻击负性\9622.JPG,右,1,2,2,2,2,2222
(中性)前测\练习\和平\2530.JPG,(中性)前测\练习\和平对照\Siblings 1.jpg,左,1,3,1,1,1,3111
(中性)前测\练习\和平对照\2890.JPG,(中性)前测\练习\和平\2580.JPG,右,1,3,2,2,1,3221
(负性)前测\练习\攻击负性\6550.JPG,(中性)前测\练习\和平对照\Birthday 2.jpg,左,1,1,1,3,2,1132
(中性)前测\练习\和平对照\Couple 3.jpg,(负性)前测\练习\非攻击负性\9912.JPG,右,1,2,2,3,1,2231
(中性)前测\练习\和平\Child labor 3.jpg,(中性)前测\练习\和平对照\Picnic 2.jpg,左,1,3,1,3,1,3131
(中性)前测\练习\和平对照\Siblings 1.jpg,(中性)前测\练习\和平\Dancing 7.jpg,右,1,3,2,4,2,3242
