左图,右图,探测点位置,性别,情绪类型,情绪面孔位置,图片,探测点一致性,控制条件
(负性)pratice\29a7c1d4-d9e6-4fc8-9dc0-27684702d9e6.png,(中性)pratice\4女15-34 中性3A465b97左上.png,左,2,3,1,2,1,2311
(中性)pratice\3男15-34中性2Aa36e9d右上.png,(负性)pratice\a7a99fff-a1c4-4712-a455-880a24e298c7.png,右,1,3,2,1,1,1321
(负性)pratice\12b58dec-423a-428a-847a-b71e2049899e.png,(中性)pratice\4女15-34 中性3A465b97左上.png,右,2,4,1,2,2,2412
(中性)pratice\3男15-34中性2Aa36e9d右上.png,(负性)pratice\c2f8ec19-f3b3-4e34-803c-7ff72b107665.png,左,1,4,2,1,2,1422
(负性)pratice\7bd4011f-1d66-4524-a5fd-f4805190f55a.png,(中性)pratice\4女15-34 中性3A465b97左上.png,左,2,1,1,2,1,2111
(中性)pratice\3男15-34中性2Aa36e9d右上.png,(负性)pratice\3男15-34强悲伤1A200558右下.png,右,1,1,2,1,1,1121
(负性)pratice\6383cb7c-fef9-4073-a708-162d6705c559.png,(中性)pratice\4女15-34 中性3A465b97左上.png,右,2,2,1,2,2,2212
(中性)pratice\3男15-34中性2Aa36e9d右上.png,(负性)pratice\7dfdef21-30f7-4a0b-834f-421e34966d38.png,左,1,2,2,1,2,1222
(中性)pratice\4女15-34 中性3A465b97左上.png,(中性)pratice\4女15-34 中性3A465b97左上.png,左,2,5,1,2,3,2513
(中性)pratice\3男15-34中性2Aa36e9d右上.png,(中性)pratice\3男15-34中性2Aa36e9d右上.png,右,1,5,2,1,3,1521
